"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","w3flotf5qjnaudspkmto","Postgres","Products","CCNullifier","NORMAL","false",1690,"directedRandom"
"2","w3flotf5qjnaudspkmto","Postgres","Products","CCNullifier","NORMAL","true",1676,"directedRandom"
"3","w3flotf5qjnaudspkmto","Postgres","Products","CCNullifier","NORMAL","true",1591,"directedRandom"
"4","w3flotf5qjnaudspkmto","Postgres","Products","CCNullifier","NORMAL","true",1700,"directedRandom"
"5","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",449,"directedRandom"
"6","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","false",1642,"directedRandom"
"7","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",568,"directedRandom"
"8","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","false",1517,"directedRandom"
"9","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",708,"directedRandom"
"10","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",525,"directedRandom"
"11","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",1634,"directedRandom"
"12","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",466,"directedRandom"
"13","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","false",1692,"directedRandom"
"14","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",516,"directedRandom"
"15","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",475,"directedRandom"
"16","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",1684,"directedRandom"
"17","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",516,"directedRandom"
"18","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","false",1517,"directedRandom"
"19","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",508,"directedRandom"
"20","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",1268,"directedRandom"
"21","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",1634,"directedRandom"
"22","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",1392,"directedRandom"
"23","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","false",1766,"directedRandom"
"24","w3flotf5qjnaudspkmto","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",1266,"directedRandom"
"25","w3flotf5qjnaudspkmto","Postgres","Products","FKCColumnPairR","NORMAL","true",1642,"directedRandom"
"26","w3flotf5qjnaudspkmto","Postgres","Products","FKCColumnPairR","NORMAL","true",1550,"directedRandom"
"27","w3flotf5qjnaudspkmto","Postgres","Products","FKCColumnPairE","NORMAL","true",1375,"directedRandom"
"28","w3flotf5qjnaudspkmto","Postgres","Products","FKCColumnPairE","NORMAL","true",1167,"directedRandom"
"29","w3flotf5qjnaudspkmto","Postgres","Products","FKCColumnPairE","NORMAL","true",1317,"directedRandom"
"30","w3flotf5qjnaudspkmto","Postgres","Products","FKCColumnPairE","NORMAL","true",1343,"directedRandom"
"31","w3flotf5qjnaudspkmto","Postgres","Products","PKCColumnA","NORMAL","true",1800,"directedRandom"
"32","w3flotf5qjnaudspkmto","Postgres","Products","PKCColumnR","NORMAL","true",1525,"directedRandom"
"33","w3flotf5qjnaudspkmto","Postgres","Products","PKCColumnR","NORMAL","true",1942,"directedRandom"
"34","w3flotf5qjnaudspkmto","Postgres","Products","PKCColumnE","NORMAL","true",1800,"directedRandom"
"35","w3flotf5qjnaudspkmto","Postgres","Products","PKCColumnE","NORMAL","true",1592,"directedRandom"
"36","w3flotf5qjnaudspkmto","Postgres","Products","NNCA","EQUIVALENT","false",1700,"directedRandom"
"37","w3flotf5qjnaudspkmto","Postgres","Products","NNCA","NORMAL","true",1650,"directedRandom"
"38","w3flotf5qjnaudspkmto","Postgres","Products","NNCA","EQUIVALENT","false",1650,"directedRandom"
"39","w3flotf5qjnaudspkmto","Postgres","Products","NNCA","EQUIVALENT","false",1592,"directedRandom"
"40","w3flotf5qjnaudspkmto","Postgres","Products","NNCR","EQUIVALENT","false",1583,"directedRandom"
"41","w3flotf5qjnaudspkmto","Postgres","Products","NNCR","NORMAL","true",1743,"directedRandom"
"42","w3flotf5qjnaudspkmto","Postgres","Products","NNCR","NORMAL","true",1625,"directedRandom"
"43","w3flotf5qjnaudspkmto","Postgres","Products","NNCR","NORMAL","true",1742,"directedRandom"
"44","w3flotf5qjnaudspkmto","Postgres","Products","NNCR","NORMAL","true",1700,"directedRandom"
"45","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","EQUIVALENT","false",1600,"directedRandom"
"46","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1909,"directedRandom"
"47","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1700,"directedRandom"
"48","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1625,"directedRandom"
"49","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","EQUIVALENT","false",1725,"directedRandom"
"50","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1575,"directedRandom"
"51","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1668,"directedRandom"
"52","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1692,"directedRandom"
"53","w3flotf5qjnaudspkmto","Postgres","Products","UCColumnA","NORMAL","true",1625,"directedRandom"
"54","lqk7sdrqb7r0ixzxhhjw","Postgres","Products","CCNullifier","NORMAL","false",1631,"directedRandom"
"55","lqk7sdrqb7r0ixzxhhjw","Postgres","Products","CCNullifier","NORMAL","true",1701,"directedRandom"
"56","lqk7sdrqb7r0ixzxhhjw","Postgres","Products","CCNullifier","NORMAL","true",1666,"directedRandom"
"57","lqk7sdrqb7r0ixzxhhjw","Postgres","Products","CCNullifier","NORMAL","true",1558,"directedRandom"
"58","lqk7sdrqb7r0ixzxhhjw","Postgres","Products","CCRelationalExpressionOperatorE","NORMAL","true",500,"directedRandom"
