"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","cmq8gtyln1orowxwxbtl","SQLite","Products","CCNullifier","NORMAL","false",25,"directedRandom"
"2","cmq8gtyln1orowxwxbtl","SQLite","Products","CCNullifier","NORMAL","true",21,"directedRandom"
"3","cmq8gtyln1orowxwxbtl","SQLite","Products","CCNullifier","NORMAL","true",19,"directedRandom"
"4","cmq8gtyln1orowxwxbtl","SQLite","Products","CCNullifier","NORMAL","true",19,"directedRandom"
"5","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",12,"directedRandom"
"6","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",19,"directedRandom"
"7","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"8","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",19,"directedRandom"
"9","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"10","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"11","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",18,"directedRandom"
"12","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"13","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",18,"directedRandom"
"14","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"15","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"16","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",17,"directedRandom"
"17","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"18","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",17,"directedRandom"
"19","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"20","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",15,"directedRandom"
"21","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",17,"directedRandom"
"22","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",15,"directedRandom"
"23","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",17,"directedRandom"
"24","cmq8gtyln1orowxwxbtl","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"25","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairR","NORMAL","true",15,"directedRandom"
"26","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairR","NORMAL","true",16,"directedRandom"
"27","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"28","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"29","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"30","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"31","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"32","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"33","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"34","cmq8gtyln1orowxwxbtl","SQLite","Products","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"35","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
"36","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
"37","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
"38","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
"39","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnA","NORMAL","true",17,"directedRandom"
"40","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnR","IMPAIRED","true",10,"directedRandom"
"41","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnR","IMPAIRED","true",8,"directedRandom"
"42","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnR","DUPLICATE","true",17,"directedRandom"
"43","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnR","DUPLICATE","true",16,"directedRandom"
"44","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnE","IMPAIRED","true",8,"directedRandom"
"45","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnE","IMPAIRED","true",8,"directedRandom"
"46","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnE","IMPAIRED","true",8,"directedRandom"
"47","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnE","IMPAIRED","true",7,"directedRandom"
"48","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnE","NORMAL","true",16,"directedRandom"
"49","cmq8gtyln1orowxwxbtl","SQLite","Products","PKCColumnE","NORMAL","true",16,"directedRandom"
"50","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCA","NORMAL","true",16,"directedRandom"
"51","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCA","NORMAL","true",16,"directedRandom"
"52","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCA","NORMAL","true",16,"directedRandom"
"53","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCA","NORMAL","true",15,"directedRandom"
"54","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCR","NORMAL","true",16,"directedRandom"
"55","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCR","NORMAL","true",16,"directedRandom"
"56","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCR","NORMAL","true",16,"directedRandom"
"57","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCR","NORMAL","true",16,"directedRandom"
"58","cmq8gtyln1orowxwxbtl","SQLite","Products","NNCR","NORMAL","true",16,"directedRandom"
"59","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"60","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",17,"directedRandom"
"61","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",16,"directedRandom"
"62","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",16,"directedRandom"
"63","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"64","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",16,"directedRandom"
"65","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",15,"directedRandom"
"66","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",15,"directedRandom"
"67","cmq8gtyln1orowxwxbtl","SQLite","Products","UCColumnA","NORMAL","true",15,"directedRandom"
"68","s3xpg8i5zfun4b7owovo","SQLite","Products","CCNullifier","NORMAL","false",24,"directedRandom"
"69","s3xpg8i5zfun4b7owovo","SQLite","Products","CCNullifier","NORMAL","true",20,"directedRandom"
"70","s3xpg8i5zfun4b7owovo","SQLite","Products","CCNullifier","NORMAL","true",20,"directedRandom"
"71","s3xpg8i5zfun4b7owovo","SQLite","Products","CCNullifier","NORMAL","true",19,"directedRandom"
"72","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",12,"directedRandom"
"73","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",18,"directedRandom"
"74","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"75","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",19,"directedRandom"
"76","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"77","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"78","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",18,"directedRandom"
"79","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"80","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",19,"directedRandom"
"81","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"82","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"83","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",18,"directedRandom"
"84","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"85","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",18,"directedRandom"
"86","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"87","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"88","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"89","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",15,"directedRandom"
"90","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","false",17,"directedRandom"
"91","s3xpg8i5zfun4b7owovo","SQLite","Products","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"92","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairR","NORMAL","true",16,"directedRandom"
"93","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairR","NORMAL","true",15,"directedRandom"
"94","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"95","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"96","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","IMPAIRED","true",8,"directedRandom"
"97","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"98","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"99","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"100","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","IMPAIRED","true",9,"directedRandom"
"101","s3xpg8i5zfun4b7owovo","SQLite","Products","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"102","s3xpg8i5zfun4b7owovo","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
"103","s3xpg8i5zfun4b7owovo","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
"104","s3xpg8i5zfun4b7owovo","SQLite","Products","PKCColumnA","IMPAIRED","true",8,"directedRandom"
