"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",158,"directedRandom"
"2","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",128,"directedRandom"
"3","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",106,"directedRandom"
"4","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",97,"directedRandom"
"5","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",94,"directedRandom"
"6","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",93,"directedRandom"
"7","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",81,"directedRandom"
"8","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",80,"directedRandom"
"9","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",74,"directedRandom"
"10","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairR","NORMAL","true",74,"directedRandom"
"11","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",72,"directedRandom"
"12","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",83,"directedRandom"
"13","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",72,"directedRandom"
"14","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"15","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"16","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"17","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"18","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"19","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"20","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"21","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"22","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"23","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"24","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"25","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"26","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",65,"directedRandom"
"27","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",71,"directedRandom"
"28","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",70,"directedRandom"
"29","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",71,"directedRandom"
"30","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",71,"directedRandom"
"31","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",74,"directedRandom"
"32","b0ofv7fgfgqvcvtahnr4","HyperSQL","RiskIt","FKCColumnPairE","NORMAL","true",73,"directedRandom"
