"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9202,"directedRandom"
"2","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",8903,"directedRandom"
"3","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9172,"directedRandom"
"4","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9188,"directedRandom"
"5","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9296,"directedRandom"
"6","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9697,"directedRandom"
"7","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9279,"directedRandom"
"8","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",8855,"directedRandom"
"9","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9539,"directedRandom"
"10","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairR","NORMAL","true",9287,"directedRandom"
"11","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8963,"directedRandom"
"12","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8679,"directedRandom"
"13","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",9422,"directedRandom"
"14","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8605,"directedRandom"
"15","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8413,"directedRandom"
"16","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8348,"directedRandom"
"17","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8730,"directedRandom"
"18","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8455,"directedRandom"
"19","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8471,"directedRandom"
"20","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",10615,"directedRandom"
"21","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",9080,"directedRandom"
"22","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8046,"directedRandom"
"23","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8463,"directedRandom"
"24","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8120,"directedRandom"
"25","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8722,"directedRandom"
"26","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8679,"directedRandom"
"27","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8739,"directedRandom"
"28","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8480,"directedRandom"
"29","pfcir8rms5rclggtx4s7","Postgres","RiskIt","FKCColumnPairE","NORMAL","true",8854,"directedRandom"
