"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",179,"directedRandom"
"2","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",175,"directedRandom"
"3","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",161,"directedRandom"
"4","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",157,"directedRandom"
"5","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",156,"directedRandom"
"6","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",155,"directedRandom"
"7","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",153,"directedRandom"
"8","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",155,"directedRandom"
"9","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",153,"directedRandom"
"10","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairR","NORMAL","true",153,"directedRandom"
"11","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",106,"directedRandom"
"12","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",104,"directedRandom"
"13","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",103,"directedRandom"
"14","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",103,"directedRandom"
"15","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",102,"directedRandom"
"16","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",103,"directedRandom"
"17","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",102,"directedRandom"
"18","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",103,"directedRandom"
"19","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",104,"directedRandom"
"20","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",103,"directedRandom"
"21","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",102,"directedRandom"
"22","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",102,"directedRandom"
"23","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",101,"directedRandom"
"24","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",151,"directedRandom"
"25","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",152,"directedRandom"
"26","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"27","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"28","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",97,"directedRandom"
"29","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",97,"directedRandom"
"30","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"31","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"32","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"33","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",97,"directedRandom"
"34","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"35","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"36","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"37","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"38","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",98,"directedRandom"
"39","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",151,"directedRandom"
"40","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",150,"directedRandom"
"41","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"42","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"43","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"44","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"45","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"46","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"47","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"48","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",77,"directedRandom"
"49","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",78,"directedRandom"
"50","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",78,"directedRandom"
"51","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",79,"directedRandom"
"52","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",78,"directedRandom"
"53","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",78,"directedRandom"
"54","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",150,"directedRandom"
"55","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",150,"directedRandom"
"56","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",150,"directedRandom"
"57","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",143,"directedRandom"
"58","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",145,"directedRandom"
"59","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",146,"directedRandom"
"60","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",62,"directedRandom"
"61","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",62,"directedRandom"
"62","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",145,"directedRandom"
"63","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",144,"directedRandom"
"64","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",143,"directedRandom"
"65","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",144,"directedRandom"
"66","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","NORMAL","true",142,"directedRandom"
"67","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",62,"directedRandom"
"68","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",62,"directedRandom"
"69","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",62,"directedRandom"
"70","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",59,"directedRandom"
"71","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",57,"directedRandom"
"72","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",57,"directedRandom"
"73","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",57,"directedRandom"
"74","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",57,"directedRandom"
"75","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",57,"directedRandom"
"76","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",56,"directedRandom"
"77","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",56,"directedRandom"
"78","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",57,"directedRandom"
"79","nlkb4l0x1yhzopnurv9a","SQLite","RiskIt","FKCColumnPairE","IMPAIRED","true",56,"directedRandom"
