"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","DUPLICATE","true",129,"directedRandom"
"2","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",108,"directedRandom"
"3","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",123,"directedRandom"
"4","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",92,"directedRandom"
"5","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",65,"directedRandom"
"6","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",61,"directedRandom"
"7","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","DUPLICATE","true",58,"directedRandom"
"8","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",70,"directedRandom"
"9","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",55,"directedRandom"
"10","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",66,"directedRandom"
"11","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",64,"directedRandom"
"12","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",57,"directedRandom"
"13","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",69,"directedRandom"
"14","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",45,"directedRandom"
"15","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",34,"directedRandom"
"16","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",33,"directedRandom"
"17","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",33,"directedRandom"
"18","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",33,"directedRandom"
"19","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",32,"directedRandom"
"20","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",37,"directedRandom"
"21","hp8qlmobfdlow3mtw8zg","HyperSQL","StackOverflow","PKCColumnA","NORMAL","true",31,"directedRandom"
