"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","DUPLICATE","true",4032,"directedRandom"
"2","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4115,"directedRandom"
"3","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4210,"directedRandom"
"4","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4217,"directedRandom"
"5","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4108,"directedRandom"
"6","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4034,"directedRandom"
"7","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","DUPLICATE","true",4209,"directedRandom"
"8","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4235,"directedRandom"
"9","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4135,"directedRandom"
"10","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",5101,"directedRandom"
"11","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4092,"directedRandom"
"12","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3809,"directedRandom"
"13","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4192,"directedRandom"
"14","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3961,"directedRandom"
"15","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4050,"directedRandom"
"16","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3959,"directedRandom"
"17","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3884,"directedRandom"
"18","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3917,"directedRandom"
"19","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4000,"directedRandom"
"20","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3800,"directedRandom"
"21","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4185,"directedRandom"
"22","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4009,"directedRandom"
"23","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4184,"directedRandom"
"24","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4592,"directedRandom"
"25","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4009,"directedRandom"
"26","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4000,"directedRandom"
"27","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","DUPLICATE","true",4135,"directedRandom"
"28","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4167,"directedRandom"
"29","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3809,"directedRandom"
"30","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4475,"directedRandom"
"31","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4375,"directedRandom"
"32","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4092,"directedRandom"
"33","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3967,"directedRandom"
"34","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3968,"directedRandom"
"35","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3917,"directedRandom"
"36","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4159,"directedRandom"
"37","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3892,"directedRandom"
"38","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",3975,"directedRandom"
"39","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","NORMAL","true",4409,"directedRandom"
"40","pqhbmzrjvkhpwdegfkz7","Postgres","StackOverflow","PKCColumnA","DUPLICATE","true",4017,"directedRandom"
