"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",66,"directedRandom"
"2","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",56,"directedRandom"
"3","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",52,"directedRandom"
"4","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"5","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"6","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"7","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"8","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",91,"directedRandom"
"9","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"10","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"11","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"12","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"13","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",43,"directedRandom"
"14","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",43,"directedRandom"
"15","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",46,"directedRandom"
"16","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"17","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"18","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"19","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"20","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"21","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"22","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"23","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"24","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"25","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"26","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"27","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"28","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"29","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"30","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"31","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",43,"directedRandom"
"32","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"33","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"34","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"35","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"36","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"37","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"38","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"39","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"40","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",132,"directedRandom"
"41","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"42","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"43","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"44","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"45","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"46","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"47","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"48","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"49","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"50","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"51","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"52","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"53","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"54","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
"55","1ub7gvfyov90fpdbiskv","SQLite","StackOverflow","NNCA","NORMAL","true",39,"directedRandom"
