"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCNullifier","NORMAL","true",27,"directedRandom"
"2","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCNullifier","NORMAL","true",22,"directedRandom"
"3","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCNullifier","NORMAL","true",21,"directedRandom"
"4","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"5","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",17,"directedRandom"
"6","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"7","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","false",14,"directedRandom"
"8","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
"9","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",12,"directedRandom"
"10","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"11","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"12","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"13","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"14","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",12,"directedRandom"
"15","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"16","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"17","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"18","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"19","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","FKCColumnPairR","NORMAL","true",10,"directedRandom"
"20","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","FKCColumnPairE","NORMAL","true",9,"directedRandom"
"21","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","FKCColumnPairE","NORMAL","true",9,"directedRandom"
"22","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnA","NORMAL","true",11,"directedRandom"
"23","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnA","NORMAL","true",11,"directedRandom"
"24","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnA","NORMAL","true",11,"directedRandom"
"25","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnR","NORMAL","true",11,"directedRandom"
"26","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnE","NORMAL","true",10,"directedRandom"
"27","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnE","NORMAL","true",10,"directedRandom"
"28","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","PKCColumnE","NORMAL","true",10,"directedRandom"
"29","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","NNCA","EQUIVALENT","false",10,"directedRandom"
"30","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","NNCA","NORMAL","true",23,"directedRandom"
"31","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","NNCA","NORMAL","true",10,"directedRandom"
"32","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","NNCA","NORMAL","true",9,"directedRandom"
"33","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","NNCR","EQUIVALENT","false",9,"directedRandom"
"34","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","NNCR","NORMAL","true",10,"directedRandom"
"35","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","UCColumnA","NORMAL","true",10,"directedRandom"
"36","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","UCColumnA","NORMAL","true",10,"directedRandom"
"37","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","UCColumnA","NORMAL","true",10,"directedRandom"
"38","6su8a0jetlixafbnvbwz","HyperSQL","StudentResidence","UCColumnA","NORMAL","true",13,"directedRandom"
"39","nav0od6oejntp78v5fgc","HyperSQL","StudentResidence","CCNullifier","NORMAL","true",28,"directedRandom"
"40","nav0od6oejntp78v5fgc","HyperSQL","StudentResidence","CCNullifier","NORMAL","true",26,"directedRandom"
