"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCNullifier","NORMAL","true",948,"directedRandom"
"2","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCNullifier","NORMAL","true",850,"directedRandom"
"3","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCNullifier","NORMAL","true",1025,"directedRandom"
"4","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",191,"directedRandom"
"5","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",975,"directedRandom"
"6","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",208,"directedRandom"
"7","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","false",850,"directedRandom"
"8","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",207,"directedRandom"
"9","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",1017,"directedRandom"
"10","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",240,"directedRandom"
"11","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",191,"directedRandom"
"12","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",176,"directedRandom"
"13","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",825,"directedRandom"
"14","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",816,"directedRandom"
"15","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",766,"directedRandom"
"16","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",733,"directedRandom"
"17","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",649,"directedRandom"
"18","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",800,"directedRandom"
"19","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","FKCColumnPairR","NORMAL","true",1008,"directedRandom"
"20","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","FKCColumnPairE","NORMAL","true",625,"directedRandom"
"21","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","FKCColumnPairE","NORMAL","true",741,"directedRandom"
"22","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnA","NORMAL","true",958,"directedRandom"
"23","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnA","NORMAL","true",833,"directedRandom"
"24","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnA","NORMAL","true",791,"directedRandom"
"25","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnR","NORMAL","true",975,"directedRandom"
"26","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnE","NORMAL","true",875,"directedRandom"
"27","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnE","NORMAL","true",850,"directedRandom"
"28","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","PKCColumnE","NORMAL","true",875,"directedRandom"
"29","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","NNCA","EQUIVALENT","false",908,"directedRandom"
"30","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","NNCA","NORMAL","true",858,"directedRandom"
"31","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","NNCA","NORMAL","true",925,"directedRandom"
"32","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","NNCA","NORMAL","true",916,"directedRandom"
"33","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","NNCR","EQUIVALENT","false",993,"directedRandom"
"34","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","NNCR","NORMAL","true",950,"directedRandom"
"35","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","UCColumnA","EQUIVALENT","false",850,"directedRandom"
"36","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","UCColumnA","NORMAL","true",950,"directedRandom"
"37","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","UCColumnA","EQUIVALENT","false",1016,"directedRandom"
"38","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","UCColumnA","NORMAL","true",891,"directedRandom"
"39","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","UCColumnA","NORMAL","true",1033,"directedRandom"
"40","vpnxxfryhiqfrjyawi0j","Postgres","StudentResidence","UCColumnA","NORMAL","true",941,"directedRandom"
"41","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCNullifier","NORMAL","true",898,"directedRandom"
"42","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCNullifier","NORMAL","true",850,"directedRandom"
"43","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCNullifier","NORMAL","true",1025,"directedRandom"
"44","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",258,"directedRandom"
"45","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",858,"directedRandom"
"46","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",183,"directedRandom"
"47","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","false",850,"directedRandom"
"48","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",291,"directedRandom"
"49","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",949,"directedRandom"
"50","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",200,"directedRandom"
"51","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",191,"directedRandom"
"52","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",183,"directedRandom"
"53","z3pmcdedjtxi6suuru5f","Postgres","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",850,"directedRandom"
