"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCNullifier","NORMAL","true",19,"directedRandom"
"2","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCNullifier","NORMAL","true",12,"directedRandom"
"3","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCNullifier","NORMAL","true",11,"directedRandom"
"4","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"5","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",10,"directedRandom"
"6","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"7","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","false",9,"directedRandom"
"8","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"9","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
"10","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"11","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"12","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"13","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
"14","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
"15","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"16","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"17","yu5qpmcr1id4rxgvqruc","SQLite","StudentResidence","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
