"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",7642,"directedRandom"
"2","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",7535,"directedRandom"
"3","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",7386,"directedRandom"
"4","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",7418,"directedRandom"
"5","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",7327,"directedRandom"
"6","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",8854,"directedRandom"
"7","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairR","NORMAL","true",7861,"directedRandom"
"8","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5836,"directedRandom"
"9","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5676,"directedRandom"
"10","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5335,"directedRandom"
"11","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5410,"directedRandom"
"12","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5361,"directedRandom"
"13","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5826,"directedRandom"
"14","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5585,"directedRandom"
"15","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5461,"directedRandom"
"16","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5593,"directedRandom"
"17","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5477,"directedRandom"
"18","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5827,"directedRandom"
"19","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5661,"directedRandom"
"20","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5501,"directedRandom"
"21","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",5426,"directedRandom"
"22","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",7195,"directedRandom"
"23","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","FKCColumnPairE","NORMAL","true",7002,"directedRandom"
"24","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","NORMAL","true",7160,"directedRandom"
"25","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","NORMAL","true",7536,"directedRandom"
"26","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","DUPLICATE","true",6977,"directedRandom"
"27","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","NORMAL","true",7269,"directedRandom"
"28","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","NORMAL","true",7128,"directedRandom"
"29","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","NORMAL","true",7285,"directedRandom"
"30","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnA","NORMAL","true",7243,"directedRandom"
"31","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnR","DUPLICATE","true",6978,"directedRandom"
"32","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnR","DUPLICATE","true",7068,"directedRandom"
"33","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnR","NORMAL","true",7035,"directedRandom"
"34","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnE","NORMAL","true",7111,"directedRandom"
"35","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnE","NORMAL","true",7736,"directedRandom"
"36","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","PKCColumnE","NORMAL","true",7077,"directedRandom"
"37","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7120,"directedRandom"
"38","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7115,"directedRandom"
"39","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7027,"directedRandom"
"40","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7018,"directedRandom"
"41","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7028,"directedRandom"
"42","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7310,"directedRandom"
"43","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7185,"directedRandom"
"44","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7303,"directedRandom"
"45","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",6960,"directedRandom"
"46","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7127,"directedRandom"
"47","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",6837,"directedRandom"
"48","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",6935,"directedRandom"
"49","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7402,"directedRandom"
"50","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",6752,"directedRandom"
"51","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",8737,"directedRandom"
"52","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7303,"directedRandom"
"53","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7511,"directedRandom"
"54","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7243,"directedRandom"
"55","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7585,"directedRandom"
"56","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7420,"directedRandom"
"57","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7027,"directedRandom"
"58","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCA","NORMAL","true",7193,"directedRandom"
"59","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7052,"directedRandom"
"60","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7354,"directedRandom"
"61","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7427,"directedRandom"
"62","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7110,"directedRandom"
"63","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7171,"directedRandom"
"64","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","NORMAL","true",7518,"directedRandom"
"65","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7153,"directedRandom"
"66","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7077,"directedRandom"
"67","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","EQUIVALENT","false",7202,"directedRandom"
"68","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","NNCR","NORMAL","true",7553,"directedRandom"
"69","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","EQUIVALENT","false",6910,"directedRandom"
"70","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7285,"directedRandom"
"71","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","EQUIVALENT","false",7244,"directedRandom"
"72","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7293,"directedRandom"
"73","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7510,"directedRandom"
"74","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7228,"directedRandom"
"75","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","EQUIVALENT","false",6968,"directedRandom"
"76","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7310,"directedRandom"
"77","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7778,"directedRandom"
"78","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","EQUIVALENT","false",7202,"directedRandom"
"79","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7393,"directedRandom"
"80","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","EQUIVALENT","false",7460,"directedRandom"
"81","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7386,"directedRandom"
"82","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7018,"directedRandom"
"83","extmoxtefjyxzwudm8ps","Postgres","UnixUsage","UCColumnA","NORMAL","true",7235,"directedRandom"
