"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",115,"directedRandom"
"2","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",103,"directedRandom"
"3","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",100,"directedRandom"
"4","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",93,"directedRandom"
"5","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",93,"directedRandom"
"6","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",152,"directedRandom"
"7","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairR","NORMAL","true",88,"directedRandom"
"8","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",89,"directedRandom"
"9","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",94,"directedRandom"
"10","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",48,"directedRandom"
"11","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",81,"directedRandom"
"12","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"13","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"14","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"15","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",70,"directedRandom"
"16","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"17","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",72,"directedRandom"
"18","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"19","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",71,"directedRandom"
"20","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"21","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"22","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"23","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",77,"directedRandom"
"24","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"25","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"26","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"27","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"28","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",29,"directedRandom"
"29","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",29,"directedRandom"
"30","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"31","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",70,"directedRandom"
"32","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"33","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",62,"directedRandom"
"34","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",61,"directedRandom"
"35","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",61,"directedRandom"
"36","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",65,"directedRandom"
"37","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"38","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"39","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"40","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"41","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"42","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",29,"directedRandom"
"43","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"44","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",66,"directedRandom"
"45","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","NORMAL","true",67,"directedRandom"
"46","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"47","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",28,"directedRandom"
"48","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"49","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",27,"directedRandom"
"50","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"51","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"52","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"53","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"54","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
"55","6fsqgrkwdvkiy7sx1co9","SQLite","UnixUsage","FKCColumnPairE","IMPAIRED","true",26,"directedRandom"
