"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5524,"directedRandom"
"2","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5534,"directedRandom"
"3","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5493,"directedRandom"
"4","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5608,"directedRandom"
"5","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5369,"directedRandom"
"6","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5526,"directedRandom"
"7","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5442,"directedRandom"
"8","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5443,"directedRandom"
"9","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5577,"directedRandom"
"10","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5842,"directedRandom"
"11","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5501,"directedRandom"
"12","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5567,"directedRandom"
"13","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5826,"directedRandom"
"14","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5444,"directedRandom"
"15","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5426,"directedRandom"
"16","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5934,"directedRandom"
"17","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5542,"directedRandom"
"18","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5709,"directedRandom"
"19","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5494,"directedRandom"
"20","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5601,"directedRandom"
"21","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5759,"directedRandom"
"22","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5667,"directedRandom"
"23","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5426,"directedRandom"
"24","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5477,"directedRandom"
"25","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5442,"directedRandom"
"26","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5343,"directedRandom"
"27","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5317,"directedRandom"
"28","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5509,"directedRandom"
"29","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5786,"directedRandom"
"30","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5309,"directedRandom"
"31","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5634,"directedRandom"
"32","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5559,"directedRandom"
"33","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5492,"directedRandom"
"34","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5419,"directedRandom"
"35","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5751,"directedRandom"
"36","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5526,"directedRandom"
"37","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5542,"directedRandom"
"38","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5469,"directedRandom"
"39","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5451,"directedRandom"
"40","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5510,"directedRandom"
"41","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",6001,"directedRandom"
"42","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",6769,"directedRandom"
"43","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5692,"directedRandom"
"44","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5384,"directedRandom"
"45","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5451,"directedRandom"
"46","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5210,"directedRandom"
"47","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5834,"directedRandom"
"48","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5434,"directedRandom"
"49","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5434,"directedRandom"
"50","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5451,"directedRandom"
"51","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5477,"directedRandom"
"52","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5718,"directedRandom"
"53","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5801,"directedRandom"
"54","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5584,"directedRandom"
"55","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5618,"directedRandom"
"56","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5394,"directedRandom"
"57","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5401,"directedRandom"
"58","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5334,"directedRandom"
"59","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5899,"directedRandom"
"60","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5660,"directedRandom"
"61","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5834,"directedRandom"
"62","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5534,"directedRandom"
"63","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5668,"directedRandom"
"64","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5742,"directedRandom"
"65","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","DUPLICATE","true",5927,"directedRandom"
"66","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5601,"directedRandom"
"67","emt9cgw9h0ylvmycqhdv","Postgres","Usda","PKCColumnA","NORMAL","true",5509,"directedRandom"
"68","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5426,"directedRandom"
"69","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5317,"directedRandom"
"70","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5444,"directedRandom"
"71","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5609,"directedRandom"
"72","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5734,"directedRandom"
"73","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5451,"directedRandom"
"74","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5642,"directedRandom"
"75","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5567,"directedRandom"
"76","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5427,"directedRandom"
"77","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5342,"directedRandom"
"78","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5651,"directedRandom"
"79","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5684,"directedRandom"
"80","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",5667,"directedRandom"
"81","emt9cgw9h0ylvmycqhdv","Postgres","Usda","NNCA","NORMAL","true",6052,"directedRandom"
