"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",92,"directedRandom"
"2","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",82,"directedRandom"
"3","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",80,"directedRandom"
"4","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",79,"directedRandom"
"5","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",76,"directedRandom"
"6","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",74,"directedRandom"
"7","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",73,"directedRandom"
"8","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",81,"directedRandom"
"9","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",76,"directedRandom"
"10","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",76,"directedRandom"
"11","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",73,"directedRandom"
"12","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"13","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"14","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"15","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"16","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"17","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"18","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"19","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"20","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"21","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"22","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",74,"directedRandom"
"23","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"24","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"25","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"26","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"27","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"28","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",70,"directedRandom"
"29","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",353,"directedRandom"
"30","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",74,"directedRandom"
"31","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",69,"directedRandom"
"32","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",69,"directedRandom"
"33","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",69,"directedRandom"
"34","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",69,"directedRandom"
"35","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",70,"directedRandom"
"36","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",69,"directedRandom"
"37","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",72,"directedRandom"
"38","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",70,"directedRandom"
"39","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",71,"directedRandom"
"40","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",70,"directedRandom"
"41","urxafaor8xxczkvzofe5","SQLite","Usda","PKCColumnA","DUPLICATE","true",69,"directedRandom"
