"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",91,"directedRandom"
"2","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",95,"directedRandom"
"3","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",63,"directedRandom"
"4","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",50,"directedRandom"
"5","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",42,"directedRandom"
"6","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",58,"directedRandom"
"7","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",41,"directedRandom"
"8","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",36,"directedRandom"
"9","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",34,"directedRandom"
"10","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",32,"directedRandom"
"11","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",32,"directedRandom"
"12","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","NORMAL","true",32,"directedRandom"
"13","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnA","DUPLICATE","true",31,"directedRandom"
"14","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"15","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",30,"directedRandom"
"16","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",30,"directedRandom"
"17","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",29,"directedRandom"
"18","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",51,"directedRandom"
"19","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",35,"directedRandom"
"20","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",33,"directedRandom"
"21","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","DUPLICATE","true",27,"directedRandom"
"22","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","DUPLICATE","true",26,"directedRandom"
"23","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",26,"directedRandom"
"24","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",27,"directedRandom"
"25","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",26,"directedRandom"
"26","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","DUPLICATE","true",26,"directedRandom"
"27","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","DUPLICATE","true",26,"directedRandom"
"28","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",26,"directedRandom"
"29","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnR","NORMAL","true",25,"directedRandom"
"30","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",25,"directedRandom"
"31","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",25,"directedRandom"
"32","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",25,"directedRandom"
"33","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",24,"directedRandom"
"34","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",38,"directedRandom"
"35","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",24,"directedRandom"
"36","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",24,"directedRandom"
"37","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",24,"directedRandom"
"38","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"39","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"40","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"41","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"42","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"43","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",24,"directedRandom"
"44","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"45","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"46","oij0ldesycqtk98zzoek","HyperSQL","WordNet","PKCColumnE","NORMAL","true",23,"directedRandom"
"47","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",23,"directedRandom"
"48","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",23,"directedRandom"
"49","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",23,"directedRandom"
"50","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",22,"directedRandom"
"51","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",23,"directedRandom"
"52","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",23,"directedRandom"
"53","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCA","NORMAL","true",25,"directedRandom"
"54","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",24,"directedRandom"
"55","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",23,"directedRandom"
"56","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",24,"directedRandom"
"57","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",23,"directedRandom"
"58","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",24,"directedRandom"
"59","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",24,"directedRandom"
"60","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",24,"directedRandom"
"61","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","NORMAL","true",23,"directedRandom"
"62","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",22,"directedRandom"
"63","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",22,"directedRandom"
"64","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","NORMAL","true",22,"directedRandom"
"65","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",22,"directedRandom"
"66","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",22,"directedRandom"
"67","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",22,"directedRandom"
"68","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",37,"directedRandom"
"69","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",20,"directedRandom"
"70","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","NORMAL","true",20,"directedRandom"
"71","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","NORMAL","true",20,"directedRandom"
"72","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",19,"directedRandom"
"73","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","NORMAL","true",20,"directedRandom"
"74","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","EQUIVALENT","false",20,"directedRandom"
"75","oij0ldesycqtk98zzoek","HyperSQL","WordNet","NNCR","NORMAL","true",20,"directedRandom"
"76","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",20,"directedRandom"
"77","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",20,"directedRandom"
"78","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",19,"directedRandom"
"79","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",19,"directedRandom"
"80","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",20,"directedRandom"
"81","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",19,"directedRandom"
"82","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",19,"directedRandom"
"83","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",20,"directedRandom"
"84","oij0ldesycqtk98zzoek","HyperSQL","WordNet","UCColumnA","NORMAL","true",20,"directedRandom"
