"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3306,"directedRandom"
"2","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3209,"directedRandom"
"3","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3259,"directedRandom"
"4","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3425,"directedRandom"
"5","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3492,"directedRandom"
"6","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3452,"directedRandom"
"7","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3417,"directedRandom"
"8","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3259,"directedRandom"
"9","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3192,"directedRandom"
"10","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3325,"directedRandom"
"11","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3509,"directedRandom"
"12","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","NORMAL","true",3452,"directedRandom"
"13","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnA","DUPLICATE","true",3292,"directedRandom"
"14","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3242,"directedRandom"
"15","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3326,"directedRandom"
"16","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3284,"directedRandom"
"17","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3418,"directedRandom"
"18","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3792,"directedRandom"
"19","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3534,"directedRandom"
"20","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3184,"directedRandom"
"21","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","DUPLICATE","true",3259,"directedRandom"
"22","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","DUPLICATE","true",3422,"directedRandom"
"23","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3243,"directedRandom"
"24","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3317,"directedRandom"
"25","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3276,"directedRandom"
"26","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","DUPLICATE","true",3459,"directedRandom"
"27","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","DUPLICATE","true",3467,"directedRandom"
"28","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","NORMAL","true",3426,"directedRandom"
"29","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnR","DUPLICATE","true",3410,"directedRandom"
"30","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnE","NORMAL","true",3217,"directedRandom"
"31","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnE","NORMAL","true",3276,"directedRandom"
"32","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnE","NORMAL","true",3426,"directedRandom"
"33","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnE","NORMAL","true",3384,"directedRandom"
"34","avdwx0iuzp2g4jh0606z","Postgres","WordNet","PKCColumnE","NORMAL","true",3617,"directedRandom"
