"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",46,"directedRandom"
"2","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",40,"directedRandom"
"3","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",37,"directedRandom"
"4","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",37,"directedRandom"
"5","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",35,"directedRandom"
"6","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",35,"directedRandom"
"7","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",64,"directedRandom"
"8","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",34,"directedRandom"
"9","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",33,"directedRandom"
"10","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",34,"directedRandom"
"11","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","false",34,"directedRandom"
"12","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","NORMAL","true",34,"directedRandom"
"13","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnA","DUPLICATE","true",32,"directedRandom"
"14","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"15","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",33,"directedRandom"
"16","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"17","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"18","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"19","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"20","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",31,"directedRandom"
"21","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","DUPLICATE","true",34,"directedRandom"
"22","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","DUPLICATE","true",32,"directedRandom"
"23","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"24","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"25","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",32,"directedRandom"
"26","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","DUPLICATE","true",32,"directedRandom"
"27","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","DUPLICATE","true",32,"directedRandom"
"28","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","NORMAL","true",31,"directedRandom"
"29","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnR","DUPLICATE","true",31,"directedRandom"
"30","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"31","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"32","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"33","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"34","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"35","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"36","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"37","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"38","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",32,"directedRandom"
"39","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"40","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"41","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"42","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"43","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"44","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"45","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"46","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"47","yjajtabvgwwf9fffanac","SQLite","WordNet","PKCColumnE","NORMAL","true",31,"directedRandom"
"48","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",32,"directedRandom"
"49","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",31,"directedRandom"
"50","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",30,"directedRandom"
"51","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",30,"directedRandom"
"52","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",31,"directedRandom"
"53","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",31,"directedRandom"
"54","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCA","NORMAL","true",30,"directedRandom"
"55","yjajtabvgwwf9fffanac","SQLite","WordNet","NNCR","NORMAL","true",30,"directedRandom"
