source,key,value
quasimutant,ArtistSimilarity,PKCColumnR
quasimutant,ArtistSimilarity,UCColumnA
equivalent,ArtistSimilarity,NNCA
redundant,ArtistSimilarity,FKCColumnPairR
redundant,ArtistSimilarity,FKCColumnPairR
quasimutant,ArtistTerm,PKCColumnR
quasimutant,ArtistTerm,PKCColumnR
quasimutant,ArtistTerm,PKCColumnR
quasimutant,ArtistTerm,UCColumnA
quasimutant,ArtistTerm,UCColumnA
quasimutant,ArtistTerm,UCColumnA
equivalent,ArtistTerm,NNCA
equivalent,ArtistTerm,NNCA
equivalent,ArtistTerm,NNCA
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,PKCColumnA
quasimutant,BankAccount,PKCColumnA
quasimutant,BankAccount,PKCColumnA
quasimutant,BankAccount,PKCColumnR
quasimutant,BankAccount,PKCColumnE
quasimutant,BankAccount,PKCColumnE
quasimutant,BankAccount,PKCColumnE
quasimutant,BankAccount,UCColumnA
quasimutant,BankAccount,UCColumnA
equivalent,BankAccount,NNCA
equivalent,BankAccount,NNCA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
quasimutant,BookTown,UCColumnA
equivalent,BookTown,NNCA
equivalent,BookTown,NNCA
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
quasimutant,BrowserCookies,FKCColumnPairR
quasimutant,BrowserCookies,FKCColumnPairR
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,PKCColumnA
quasimutant,BrowserCookies,PKCColumnA
quasimutant,BrowserCookies,PKCColumnA
quasimutant,BrowserCookies,PKCColumnR
quasimutant,BrowserCookies,PKCColumnR
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,UCColumnA
equivalent,BrowserCookies,NNCR
equivalent,BrowserCookies,NNCR
equivalent,BrowserCookies,NNCR
redundant,BrowserCookies,UCColumnA
redundant,BrowserCookies,UCColumnE
redundant,BrowserCookies,UCColumnE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,UCColumnA
quasimutant,CoffeeOrders,UCColumnA
quasimutant,CoffeeOrders,UCColumnA
quasimutant,CoffeeOrders,UCColumnA
quasimutant,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
quasimutant,CustomerOrder,FKCColumnPairE
