source,key,value
impaired,ArtistSimilarity,PKCColumnR
equivalent,ArtistSimilarity,UCColumnA
redundant,ArtistSimilarity,FKCColumnPairR
redundant,ArtistSimilarity,FKCColumnPairR
redundant,ArtistSimilarity,PKCColumnA
redundant,ArtistSimilarity,PKCColumnA
impaired,ArtistTerm,PKCColumnR
impaired,ArtistTerm,PKCColumnR
impaired,ArtistTerm,PKCColumnR
equivalent,ArtistTerm,UCColumnA
equivalent,ArtistTerm,UCColumnA
equivalent,ArtistTerm,UCColumnA
redundant,ArtistTerm,PKCColumnA
redundant,ArtistTerm,PKCColumnA
redundant,ArtistTerm,PKCColumnA
redundant,ArtistTerm,PKCColumnA
impaired,BankAccount,FKCColumnPairE
impaired,BankAccount,FKCColumnPairE
impaired,BankAccount,FKCColumnPairE
impaired,BankAccount,PKCColumnA
impaired,BankAccount,PKCColumnA
impaired,BankAccount,PKCColumnA
impaired,BankAccount,PKCColumnR
impaired,BankAccount,PKCColumnE
impaired,BankAccount,PKCColumnE
impaired,BankAccount,PKCColumnE
equivalent,BankAccount,UCColumnA
equivalent,BankAccount,UCColumnA
equivalent,BookTown,NNCA
equivalent,BookTown,NNCA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
redundant,BookTown,PKCColumnA
impaired,BrowserCookies,FKCColumnPairR
impaired,BrowserCookies,FKCColumnPairR
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,PKCColumnA
impaired,BrowserCookies,PKCColumnA
impaired,BrowserCookies,PKCColumnA
impaired,BrowserCookies,PKCColumnR
impaired,BrowserCookies,PKCColumnR
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
equivalent,BrowserCookies,UCColumnA
redundant,BrowserCookies,UCColumnA
redundant,BrowserCookies,UCColumnE
redundant,BrowserCookies,UCColumnE
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
redundant,Cloc,PKCColumnA
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,FKCColumnPairE
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnA
impaired,CustomerOrder,PKCColumnR
impaired,CustomerOrder,PKCColumnR
impaired,CustomerOrder,PKCColumnR
impaired,CustomerOrder,PKCColumnR
impaired,CustomerOrder,PKCColumnR
impaired,CustomerOrder,PKCColumnR
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
impaired,CustomerOrder,PKCColumnE
equivalent,CustomerOrder,UCColumnA
equivalent,CustomerOrder,UCColumnA
